,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
87,RNNG_in_order_beam,40000,log,-0.27131472861429295,0,-313.38451907815136,0.07811614981780224,0.148454639788831,0.4085940844704328,-0.23661432642231017,"RLRRLR, RRRRRR, RRRLRR"
88,RNNG_in_order_beam,60000,log,-0.7383561932294935,0,-314.1800867055047,0.1355748868640508,0.19144484889698637,0.47677076461413703,-0.21393668622152742,"RRRRRR, RRLRRR, RRRLRR"
89,RNNG_in_order_beam,80000,log,0.002573473202730339,0,-312.9928379221702,-0.0008993890240854823,0.13234324994982186,0.2127365777519848,-0.14541229673134182,"RLRLRR, RRRRRR, RRRLRR"
90,SRNNG_top_down_beam,0,log,0.045996631949340006,0,-313.2443349093765,-0.0626317429107065,0.15924294816468365,0.28239107146035164,0.1734768638669541,"RLRLLL, RLRRLL, RLLRLL"
91,SRNNG_top_down_beam,20000,log,0.07046003620603675,0,-313.57916096810595,-0.09550006433082706,0.15070083380156674,0.29206710386058776,0.1466278092420359,"RLLLLL, RLRLLL, RLLRLL"
92,SRNNG_top_down_beam,40000,log,0.035245720054113513,0,-313.12366692059334,-0.04519869897388647,0.12535531561076052,0.3270941989791272,0.30608579487367954,"RLLLLL, LLLLLL, RLRLLL"
93,SRNNG_top_down_beam,60000,log,0.02881640947327306,0,-313.09360467755755,-0.039674290626363545,0.1426857646691831,0.27584389070709125,0.2958924732186927,"RLLLLL, RLRLLL, LLLLLL"
94,SRNNG_top_down_beam,80000,log,0.05134771482570999,0,-313.31094632615054,-0.07041957460109312,0.12761777675950264,0.28932499764861247,0.22870567350183488,"RLLLLL, RLRLLL, RLRRLL"
95,SRNNG_in_order_beam,0,log,-0.12932889014384072,0,-313.48847829058764,0.0878366265444035,-0.10558314452306004,0.33915262047124456,-0.3036304377639091,"RRRRRR, RRRLRR, RRLRRR"
96,SRNNG_in_order_beam,20000,log,-0.07907350639174891,0,-313.22728089053294,0.06047541728966679,-0.11260736873866468,0.3796057373335138,-0.30055606647822897,"RRRRRR, RRRLRR, RRLRRR"
97,SRNNG_in_order_beam,40000,log,-0.10122048189441503,0,-313.1785226368175,0.05383238292553339,-0.14918214086703144,0.405688039149163,-0.11759000021358518,"RRRRRR, RRRLRR, RRLLRR"
98,SRNNG_in_order_beam,60000,log,-0.3101106702646128,0,-314.1152190998553,0.13185264106323596,-0.12171963783567756,0.41799786285126206,-0.1574415387791388,"RRRRRR, LLRLLL, RRRLRR"
99,SRNNG_in_order_beam,80000,log,-0.1437918681626798,0,-313.3302318913474,0.07251699087869803,-0.13614517510726584,0.4371000377336456,-0.16426223381858449,"RRLRRR, RRRRRR, RRRLRR"
