,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
377,RNNG_in_order_beam,40000,2.0,1.5227286670690463e-05,0,-314.63347196265903,-0.15909088861453494,0.363859570758453,-0.09085396115168407,-0.2968377318693353,"RRRRRL, RRRRLL, RLRLLL"
378,RNNG_in_order_beam,60000,2.0,2.5419091084412787e-05,0,-316.14622992498124,-0.2192677824504637,0.3827034799915595,-0.03074602690754316,-0.27199325584687545,"RLRRLL, RRRRLL, RRLRLL"
379,RNNG_in_order_beam,80000,2.0,3.809163498251765e-05,0,-321.7418170673419,-0.357451102394334,0.03753245753134731,-0.15451662791665935,-0.3095781418573004,"RRRLRL, RRRRRL, LRLLRR"
380,SRNNG_top_down,0,2.0,-0.0016508442158892987,0,-313.06122710973057,0.03269278762822981,0.23868064799942335,0.06925776199343807,0.042265065249365234,"RLLRRR, RLRRRR, RLLRRL"
381,SRNNG_top_down,20000,2.0,0.0003171872424490097,0,-312.9949079263448,-0.005757791818571015,0.08010115459440464,0.06492852079610871,0.10647274662144839,"RLLRLR, RLRRLR, LLLRLR"
382,SRNNG_top_down,40000,2.0,0.0019566483418985473,0,-313.1094970578614,-0.0426842609579526,0.07679670228385813,0.0023353818674044513,0.11438906279810694,"RLLRRR, LLLRLR, LLLRRR"
383,SRNNG_top_down,60000,2.0,0.002399422572917551,0,-313.1729009027437,-0.053012607578823076,0.10598207056851822,-0.0036658382012535635,0.037294616876161486,"RLLRLR, RLLRRR, RLRRLR"
384,SRNNG_top_down,80000,2.0,-0.013501134353816072,0,-314.95413120180694,0.1737273372816574,0.03335078852994245,0.012364330595105832,0.20899529385653157,"LLLRLR, LLLRRR, RLLRLR"
385,SRNNG_top_down_beam,0,2.0,-6.873048126406459e-08,0,-314.6782557044666,0.161219439670815,0.06257947346979259,-0.008865312923879157,-0.2669132535321911,"LLLRRR, LLRRRR, RLRRRR"
386,SRNNG_top_down_beam,20000,2.0,-5.536976281911128e-08,0,-314.5250007377066,0.1538068400939728,-0.079812355276682,0.0536874812787955,-0.13043021772609534,"LLLRLR, LLRRRR, LLRRLR"
387,SRNNG_top_down_beam,40000,2.0,-2.5921549981673133e-08,0,-313.4028795169238,0.07992010530145144,-0.07729499623542854,-0.0184762487948004,-0.2036563974745841,"LLLRLR, LLLRRR, LLRRLR"
388,SRNNG_top_down_beam,60000,2.0,-1.582933252020399e-08,0,-313.1766763530828,0.05356454473870814,-0.008145403594716237,-0.09143385048485685,-0.3617951462463828,"LLLRLR, LLRRLR, RLLRRR"
389,SRNNG_top_down_beam,80000,2.0,-1.0507233170275808e-07,0,-317.97993980916254,0.2737983358094642,-0.05559844485957803,-0.03539668273932509,-0.14611994617495777,"LLLRLR, LLLRRR, LLRRLR"
390,SRNNG_in_order,0,2.0,-0.015396616036750079,0,-318.46614938244096,0.2862977675408484,0.4311809999849512,0.13685151227075332,-0.33299611921551575,"LRRRRR, LRLRRR, LLLRRR"
391,SRNNG_in_order,20000,2.0,-0.003986348474322405,0,-313.3783255459478,0.07749803091012195,0.14425309489337146,-0.0456169052039715,-0.5076260733994271,"RLLRRR, RLRRRR, LRLRRR"
392,SRNNG_in_order,40000,2.0,-0.012669875472447276,0,-318.06120963145804,0.27593374181825653,0.27353166182679606,0.06095347860908267,-0.3022028748291242,"LRLRRR, LLLRRR, RLLRRR"
393,SRNNG_in_order,60000,2.0,-0.004485730031451581,0,-313.8036877491831,0.11220698134242917,0.09826752880422554,0.010260280486908947,-0.4166754061751937,"LLLRRR, LRLRRR, LRRRRR"
394,SRNNG_in_order,80000,2.0,-0.009413736227259276,0,-315.60961772767394,0.20015832932270322,0.23686971339205912,0.07281428312517577,-0.4603257338435386,"LRLRRR, RRLRRR, RLLRRR"
395,SRNNG_in_order_beam,0,2.0,-7.63687232029331e-08,0,-317.0790306381025,0.24870064244265605,0.36873082057059264,0.1581241193259158,-0.2469380272416228,"LRRRRR, LRLRRR, RLLRRR"
396,SRNNG_in_order_beam,20000,2.0,-2.1947673606281908e-08,0,-313.3721008979539,0.07687173802816298,0.090121229834955,-0.06656091022503675,-0.46223522196496525,"RLLRRR, RLRRRR, LRLRRR"
397,SRNNG_in_order_beam,40000,2.0,-5.633255086629228e-08,0,-316.62403162103146,0.23485870944441112,0.2018666474913811,0.08358615453395377,-0.23333744707281082,"LRLRRR, RLLRRR, LRRRRR"
398,SRNNG_in_order_beam,60000,2.0,-1.3504765493710046e-08,0,-313.50078898975687,0.08891639450714645,0.0484465271992639,0.01993136180209635,-0.3969400494367392,"LRLRRR, LLLRRR, LRRRRR"
399,SRNNG_in_order_beam,80000,2.0,-4.5253581270363273e-08,0,-315.569073159055,0.19863291705307248,0.1950521129221784,0.07519562922984667,-0.4048308545132285,"LRLRRR, RLLRRR, RRLRRR"
400,llama2-7b,0,2.0,6.049336281002571e-07,0,-316.1890920289915,-0.22071626198689498,0.14960761272686912,0.13044979841354465,0.012665874043729014,"LRLLLL, LRRLLL, LRLRLL"
